Year_Start,Year_End,Estate_ID,Block_ID,Block_Boiler_Repairs_and_Maintenance,Block_Cleaning,Block_Communal_Electricity,Block_Communal_Electrical_Maintenance,Block_Communal_Ventilation_Maintenance,Block_Communal_Water_Quality,Block_Communal_Window_Cleaning,Block_Concierge,Block_CCTV,Block_Disinfestation,Block_Door_Entry_System,Block_Dry_Riser,Block_Lightning_Protection,Block_Lift_Services_and_Repairs,Block_Fire_Ventilation_Maintenance,Block_Repairs_and_Maintenance,Block_TV_Aerial,Block_Ext_Cleaning,Block_Ext_External_Tree_Maintenance,Block_Ext_Grounds_Maintenance,Block_Ext_Repairs_and_Maintenance,Estate_Cleaning,Estate_CCTV,Estate_Communal_Electricity,Estate_Grounds_Maintenance,Estate_Repairs_and_Maintenance,Estate_Tree_Maintenance
2022,2023,EA020,BD000465,0,2527.75,0,746.23,0,938.91,0,0,0,105.74,624.99,0,657.29,568.86,0,246.13,0,0,0,0,0,34988.95,13597.6,14901.11,5736.73,12027.89,0
2022,2023,EA020,BD000466,0,9648.59,3063.93,828.21,5597.5,1660.29,0,0,0,740.18,1364.61,0,657.29,2640.82,0,5598.45,0,0,0,0,0,34988.95,13597.6,14901.11,5736.73,12027.89,0
2022,2023,EA020,BD000527,0,12406.51,32301.49,746.23,6127.34,0,0,0,0,105.74,678.47,0,0,0,0,24755.62,0,0,0,0,0,34988.95,13597.6,14901.11,5736.73,12027.89,0
2022,2023,EA021,BD002392,0,0,0,101.7,0,0,0,0,0,105.74,384.97,0,0,0,0,2918.93,267.8,0,0,0,0,11270.1,0,208.83,1128.16,299.76,1345.63
2022,2023,EA021,BD002394,8570.03,0,835.3,373.04,0,0,0,0,0,105.74,769.93,0,0,0,0,3177.76,1071.19,0,0,0,0,11270.1,0,208.83,1128.16,299.76,1345.63
2022,2023,EA021,BD002395,6571.7,0,0,101.7,0,0,0,0,0,422.96,384.97,0,0,0,0,3091.48,267.8,0,0,0,0,11270.1,0,208.83,1128.16,299.76,1345.63
2022,2023,EA021,BD002396,1837.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.93,0,0,0,0,0,11270.1,0,208.83,1128.16,299.76,1345.63
2022,2023,EA023,BD001276,0,1820.87,1245.46,376.59,0,379.97,0,0,0,2.05,221.57,0,657.29,0,0,684.17,0,0,0,0,0,90200.07,0,31094.65,26025.42,27986.48,2873.88
2022,2023,EA023,BD001387,0,2720.55,0,2067.5,0,379.97,0,0,0,320.29,0,0,0,0,0,222.54,72.73,0,0,0,0,90200.07,0,31094.65,26025.42,27986.48,2873.88
2022,2023,EA023,BD001388,0,953.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90200.07,0,31094.65,26025.42,27986.48,2873.88
2022,2023,EA023,BD001389,0,2774.32,0,540.56,0,379.97,0,0,0,426.09,0,0,0,0,0,2420.01,145.49,0,0,0,0,90200.07,0,31094.65,26025.42,27986.48,2873.88
2022,2023,EA023,BD001390,0,4623.86,768.2,868.51,10357.97,763.36,0,0,0,533.91,0,0,0,0,0,33578.86,242.47,0,0,0,0,90200.07,0,31094.65,26025.42,27986.48,2873.88
2022,2023,EA023,BD001391,0,4623.86,3214.34,868.51,6066.13,1118.54,0,0,0,745.39,0,0,0,0,0,7741.46,242.47,0,0,0,0,90200.07,0,31094.65,26025.42,27986.48,2873.88
2022,2023,EA023,BD001392,0,5358.66,0,8164.85,3470.47,2447.21,0,0,0,957.7,1028.42,0,0,0,0,8770.63,363.71,0,0,0,0,90200.07,0,31094.65,26025.42,27986.48,2873.88
2022,2023,EA023,BD001394,0,2195.44,0,458.57,0,379.97,0,0,0,108.21,0,0,0,0,0,2624.38,121.24,0,0,0,0,90200.07,0,31094.65,26025.42,27986.48,2873.88
