Year_Start,Year_End,Estate_ID,Block_ID,Block_Administration_Charge,Block_Administration_Charge_Unit,Block_TV_Aerial,Block_TV_Aerial_Unit,Block_Repairs,Block_Repairs_Unit,Block_Estate_Lighting,Block_Estate_Lighting_Unit,Block_Security_Services,Block_Security_Services_Unit,Block_Lift_Maintenance,Block_Lift_Maintenance_Unit,Block_Heating_And_Hotwater,Block_Heating_And_Hotwater_Unit,Block_Ground_Rent,Block_Ground_Rent_Unit,Block_Building_Insurance,Block_Building_Insurance_Unit,Block_Door_Entry,Block_Door_Entry_Unit,Block_Care_And_Upkeep,Block_Care_And_Upkeep_Unit,Estate_Care_And_Upkeep,Estate_Care_And_Upkeep_Unit,Estate_Grounds_Maintenance,Estate_Grounds_Maintenance_Unit,Estate_Lighting,Estate_Lighting_Unit,Estate_Repairs_And_Maintenance,Estate_Repairs_And_Maintenance_Unit
2022,2023,"SWKE0129","SWKB1078","3868.64","9.62","0.00","0.00","3731.36","9.28","2695.20","6.70","0.00","0.00","2066.88","5.14","13551.36","33.71","160.00","0.40","6755.68","16.81","759.84","1.89","4654.40","11.58","33233.44","5.71","15254.16","2.62","6285.16","1.08","4205.47","0.72"
2022,2023,"SWKE0109","SWKB1079","422.74","7.69","0.00","0.00","1039.52","18.90","624.32","11.35","0.00","0.00","0.00","0.00","0.00","0.00","20.00","0.36","855.30","15.55","66.60","1.21","1063.82","19.34","28993.09","7.77","13027.12","3.49","5731.74","1.54","8768.26","2.35"
2022,2023,"SWKE0109","SWKB1080","1350.04","22.88","0.00","0.00","1824.68","30.93","2332.93","39.54","0.00","0.00","0.00","0.00","0.00","0.00","70.00","1.19","3010.83","51.03","230.64","3.91","3955.47","67.04","28993.09","7.77","13027.12","3.49","5731.74","1.54","8768.26","2.35"
2022,2023,"SWKE0109","SWKB1081","726.21","12.10","0.00","0.00","1125.28","18.75","1298.58","21.64","0.00","0.00","0.00","0.00","0.00","0.00","40.00","0.67","1628.53","27.14","127.53","2.13","2009.16","33.49","28993.09","7.77","13027.12","3.49","5731.74","1.54","8768.26","2.35"
2022,2023,"SWKE0303","SWKB1082","1749.47","6.07","0.00","0.00","2490.50","8.65","1134.92","3.94","0.00","0.00","1426.13","4.95","0.00","0.00","160.00","0.56","5762.83","20.01","0.00","0.00","3731.67","12.96","3913.26","2.53","4496.29","2.91","2112.97","1.37","4221.99","2.73"
2022,2023,"SWKE0232","SWKB1083","2448.81","5.28","0.00","0.00","2280.64","4.92","679.64","1.46","0.00","0.00","0.00","0.00","0.00","0.00","250.00","0.54","10300.27","22.20","0.00","0.00","6006.33","12.94","4029.53","6.21","2610.05","4.02","401.60","0.62","21.39","0.03"
2022,2023,"SWKE0345","SWKB1084","0.00","0.00","0.00","0.00","1747.15","11.20","472.59","3.03","0.00","0.00","0.00","0.00","0.00","0.00","60.00","0.38","2805.85","17.99","0.00","0.00","1569.60","10.06","0.00","0.00","4652.46","6.40","495.01","0.68","532.60","0.73"
2022,2023,"SWKE0233","SWKB1085","1000.86","10.01","0.00","0.00","3654.50","36.55","444.64","4.45","0.00","0.00","0.00","0.00","0.00","0.00","80.00","0.80","3057.84","30.58","107.86","1.08","584.94","5.85","362.18","3.62","1592.14","15.92","204.40","2.04","0.00","0.00"
2022,2023,"SWKE0220","SWKB1086","1318.02","5.78","0.00","0.00","3350.21","14.69","666.82","2.92","0.00","0.00","0.00","0.00","0.00","0.00","90.00","0.39","3838.69","16.84","0.00","0.00","1958.48","8.59","9538.91","6.28","11292.23","7.43","2533.64","1.67","3053.70","2.01"
2022,2023,"SWKE0109","SWKB1087","146.98","2.16","0.00","0.00","124.12","1.83","170.69","2.51","0.00","0.00","241.07","3.55","0.00","0.00","10.00","0.15","344.64","5.07","28.86","0.42","354.08","5.21","28993.09","7.77","13027.12","3.49","5731.74","1.54","8768.26","2.35"
2022,2023,"SWKE0109","SWKB1088","1313.10","15.09","0.00","0.00","2739.34","31.49","1367.34","15.72","0.00","0.00","1439.27","16.54","0.00","0.00","60.00","0.69","2571.66","29.56","193.98","2.23","3045.14","35.00","28993.09","7.77","13027.12","3.49","5731.74","1.54","8768.26","2.35"
