Year_Start,Year_End,Estate_ID,Block_ID,Block_Administration_Charge,Block_TV_Aerial,Block_Repairs,Block_Estate_Lighting,Block_Security_Services,Block_Lift_Maintenance,Block_Heating_And_Hotwater,Block_Ground_Rent,Block_Building_Insurance,Block_Door_Entry,Block_Care_And_Upkeep,Estate_Care_And_Upkeep,Estate_Grounds_Maintenance,Estate_Lighting,Estate_Repairs_And_Maintenance
2022,2023,"SWKE0109","SWKB0565","163.60","0.00","450.06","0.00","0.00","0.00","0.00","20.00","844.46","0.00","0.00","28993.09","13027.12","5731.74","8768.26"
2022,2023,"SWKE0121","SWKB0566","292.39","0.00","727.38","0.00","0.00","0.00","0.00","60.00","2051.80","0.00","0.00","0.00","144.47","0.00","0.00"
2022,2023,"SWKE0124","SWKB0567","123.39","0.00","104.42","49.56","0.00","0.00","0.00","10.00","338.99","0.00","430.66","258.64","0.00","11.82","39.80"
2022,2023,"SWKE0125","SWKB0568","164.54","0.00","79.40","144.33","0.00","0.00","0.00","10.00","422.23","0.00","676.11","323.32","0.00","0.00","0.00"
2022,2023,"SWKE0254","SWKB0569","3892.08","0.00","762.06","1233.25","0.00","2227.40","25773.01","70.00","2707.26","116.99","3921.79","28014.15","12841.99","3467.67","2878.73"
2022,2023,"SWKE0254","SWKB0570","3538.99","0.00","655.50","295.05","0.00","915.30","24091.40","100.00","3433.43","214.29","3718.85","28014.15","12841.99","3467.67","2878.73"
2022,2023,"SWKE0329","SWKB0571","3370.10","0.00","5006.39","3068.32","0.00","0.00","0.00","280.00","11716.38","0.00","6524.00","67056.41","57695.83","7120.45","2827.45"
2022,2023,"SWKE0033","SWKB0572","314.66","0.00","46.27","188.96","0.00","0.00","0.00","30.00","1111.51","86.31","1019.04","8881.31","3400.90","2480.48","1457.53"
2022,2023,"SWKE0210","SWKB0573","3156.66","0.00","3833.52","734.90","0.00","0.00","18235.56","90.00","3197.36","0.00","2888.55","18399.95","6510.11","3421.44","2839.76"
2022,2023,"SWKE0126","SWKB0574","565.65","0.00","1079.65","222.55","0.00","733.63","0.00","50.00","2138.59","148.92","940.90","290.98","0.00","48.56","52.74"
2022,2023,"SWKE0056","SWKB0575","159.32","0.00","44.40","18.52","0.00","0.00","0.00","20.00","689.28","0.00","348.94","11236.68","2379.71","2129.49","2380.20"
2022,2023,"SWKE0145","SWKB0576","1611.47","0.00","3144.81","1276.19","0.00","1397.64","0.00","130.00","5045.81","407.38","2453.00","28851.81","12285.67","6990.17","3304.06"
2022,2023,"SWKE0259","SWKB0577","314.87","0.00","742.34","390.52","0.00","218.40","0.00","20.00","849.88","0.00","545.87","7056.09","10017.05","3543.05","651.89"
2022,2023,"SWKE0123","SWKB0578","350.92","0.00","346.36","166.10","0.00","0.00","0.00","20.00","855.30","65.42","820.58","5826.56","3704.64","1066.01","253.53"
2022,2023,"SWKE0041","SWKB0579","47.84","0.00","115.45","17.09","0.00","0.00","0.00","0.00","245.79","0.00","0.00","66294.63","43369.16","23493.13","6607.17"
2022,2023,"SWKE0041","SWKB0580","515.97","0.00","641.96","470.25","0.00","0.00","0.00","40.00","1622.77","128.71","1431.57","66294.63","43369.16","23493.13","6607.17"
2022,2023,"SWKE0041","SWKB0581","688.08","0.00","325.81","788.07","0.00","916.69","0.00","50.00","2033.56","494.84","1319.12","66294.63","43369.16","23493.13","6607.17"
2022,2023,"SWKE0261","SWKB0582","1157.12","0.00","236.87","770.82","0.00","296.10","6312.15","40.00","1354.60","235.74","1158.76","10869.53","2265.24","1514.86","332.26"
2022,2023,"SWKE0127","SWKB0583","717.26","0.00","918.50","354.67","0.00","0.00","0.00","80.00","2742.23","174.42","1589.97","1061.43","1069.72","147.73","0.00"
2022,2023,"SWKE0127","SWKB0584","183.66","0.00","118.87","73.32","0.00","0.00","0.00","10.00","343.32","899.36","224.52","1061.43","1069.72","147.73","0.00"
2022,2023,"SWKE0127","SWKB0585","459.40","0.00","527.00","539.16","0.00","0.00","0.00","40.00","1373.28","130.84","1314.92","1061.43","1069.72","147.73","0.00"
2022,2023,"SWKE0026","SWKB0586","1957.08","0.00","422.57","593.31","0.00","0.00","11915.62","90.00","2809.90","0.00","2651.06","6995.63","3868.29","1062.43","729.71"
2022,2023,"SWKE0288","SWKB0587","1672.05","0.00","2390.17","1031.05","0.00","0.00","0.00","140.00","5985.34","0.00","4796.40","36388.87","15134.54","3958.58","5509.76"
2022,2023,"SWKE0048","SWKB0588","0.00","0.00","37.26","885.88","0.00","0.00","0.00","80.00","2904.98","499.48","3344.58","0.00","3803.49","4526.42","13547.48"
2022,2023,"SWKE0130","SWKB0589","476.05","0.00","1046.90","906.80","0.00","0.00","0.00","50.00","1694.95","0.00","144.45","437.80","505.20","0.00","24.45"
2022,2023,"SWKE0111","SWKB0590","0.00","0.00","6742.36","631.84","0.00","0.00","6916.72","40.00","1378.56","250.76","1239.92","0.00","6114.08","2844.13","77.17"
2022,2023,"SWKE0131","SWKB0591","1162.00","0.00","72.32","764.72","0.00","0.00","0.00","80.00","3377.84","0.00","2684.00","1825.84","2208.72","228.88","457.76"
2022,2023,"SWKE0132","SWKB0592","34.98","0.00","0.00","0.00","0.00","0.00","0.00","10.00","344.64","0.00","0.00","0.00","0.00","5.16","0.00"
2022,2023,"SWKE0133","SWKB0593","36.72","0.00","0.00","17.39","0.00","0.00","0.00","10.00","344.64","0.00","0.00","0.00","0.00","5.16","0.00"
