ID,Estate_Name,Estate_RV
"SWKE0231","Mason House",121
"SWKE0232","Mawbey Estate",649
"SWKE0233","Maxden Court",100
"SWKE0234","Melford Court",314
"SWKE0235","Michael Faraday House",666
"SWKE0236","Millpond Estate",492
"SWKE0237","Minnow Walk Estate",198
"SWKE0238","Moncrieff Estate",402
"SWKE0239","Monteagle Way",239
"SWKE0240","Montpelier Road 076-078(E)",38
"SWKE0241","Moody Road 019-031(O)",108
"SWKE0242","Mundania Road 005-019(O)",129
"SWKE0243","Mundania Road 027-031(O)",52
"SWKE0244","Naylor House",150
"SWKE0245","Naylor Road 060-070(E), 062A-068A(E)",60
"SWKE0246","Naylor Road 086-092(E), 086A-088A(E)",42
"SWKE0247","Neckinger Estate",2081
"SWKE0248","Nelson Estate",1516
"SWKE0249","Nelson Square Garden",1220
"SWKE0250","New Church Road 040-048(E)",36
"SWKE0251","New James Court",467
"SWKE0252","New Place Estate",4175
"SWKE0253","Newington Estate",2578
"SWKE0254","North Peckham Estate",4725
"SWKE0255","Nunhead Estate",890
"SWKE0256","Nunhead Green 014-016(E)",18
"SWKE0257","Nunhead Green 018, 020A-020D(C)",32
"SWKE0258","Oakhill Court",158
"SWKE0259","Oliver Goldsmith Estate",2830
"SWKE0260","Ondine Road 042-052(E)",53
"SWKE0261","Osprey Estate",904
"SWKE0262","Park Street Estate",903
"SWKE0263","Pasley Estate",1205
"SWKE0264","Peckham Road 087",59
"SWKE0265","Peckham Rye 025-027(O)",60
"SWKE0266","Peckham Rye 145-153(O)",93
"SWKE0267","Pedworth Estate",1166
"SWKE0268","Pelican Estate",1553
"SWKE0269","Pelier Estate",1844
"SWKE0270","Pennack Road Estate",497
"SWKE0271","Penrose House",976
"SWKE0272","Peter Butler House",216
"SWKE0273","Plough Estate",888
"SWKE0274","Pomeroy Estate",1340
"SWKE0275","Portland Estate",1200
"SWKE0276","Priory Court",458
"SWKE0277","Pullens Estate",2083
"SWKE0278","Purbrook Estate",733
"SWKE0279","Pynfolds Estate",621
"SWKE0280","Queens Road Estate",457
"SWKE0281","Quentin House",349
"SWKE0282","Raul Road 009-019(O)",67
"SWKE0283","Raul Road 010-020(E)",68
