ID,Block_Name,Block_RV,Estate_ID
"SWKB0166","Blick House, Neptune Street 1-6(C), 9-14(C), 17-22(C), 25-30(C), 33-38(C)",180,"SWKE0032"
"SWKB0167","Boarley House, Massinger Street 1-20(C)",110,"SWKE0087"
"SWKB0168","Boathouse Walk 1-24(C)",173,"SWKE0349"
"SWKB0169","Bodeney House, Peckham Road 1-45(C)",296,"SWKE0156"
"SWKB0170","Bonsor Street 12-17(C)",42,"SWKE0034"
"SWKB0171","Borough Square 10-11(C); Collinson Walk 17-31(O); Scovell Crescent 33-35(O)",60,"SWKE0298"
"SWKB0172","Borough Square 12-13(C); Scovell Crescent 37-41(O)",30,"SWKE0298"
"SWKB0173","Borough Square 7-9(C); Collinson Walk 33-47(O)",55,"SWKE0298"
"SWKB0174","Borrett Close 1-17(O),2-10(E);Gates Court 1-24(C);Manor Place 109-143(O);Marsland Close 1-21(O),6,12,16-34(E);Pasley Close 1-7(O),2-14(E),11-13(O);Penton Place 100-122(E);Runacres Court 1-24(C);Williamson Court 1-22(C)*",866,"SWKE0263"
"SWKB0175","Boston House, Denmark Road 1-32(C) ;Crawford Estate Club",180,"SWKE0100"
"SWKB0176","Boughton House, Tennis Street 1-25(C)",151,"SWKE0329"
"SWKB0177","Boughton House, Tennis Street 26-39(C)",83,"SWKE0329"
"SWKB0178","Boughton House, Tennis Street 40-50(C)",67,"SWKE0329"
"SWKB0179","Boulogne House, Abbey Street 1-21(C)",108,"SWKE0316"
"SWKB0180","Boundary House, Bethwin Road 1-16(C)",82,"SWKE0159"
"SWKB0181","Boundary House, Bethwin Road 17-34(C)",112,"SWKE0159"
"SWKB0182","Boundary House, Bethwin Road 35-58(C)",136,"SWKE0159"
"SWKB0183","Bowen Drive 106-120(E)",40,"SWKE0037"
"SWKB0184","Bowen Drive 124-138(E)",40,"SWKE0038"
"SWKB0185","Bowen Drive 70-100(E)",113,"SWKE0036"
"SWKB0186","Bowley House, Marine Street 1-43(C)",253,"SWKE0112"
"SWKB0187","Bowness House 1-34(C)",238,"SWKE0340"
"SWKB0188","Bradley House, Raymouth Road 1-77(C)",445,"SWKE0039"
"SWKB0189","Bradlord House, Bowen Drive 1-24(C)",140,"SWKE0201"
"SWKB0190","Braganza Street 60-62(E) / Flats A-D(C)",24,"SWKE0040"
"SWKB0191","Bramham House, Quorn Road 1-16(C)",102,"SWKE0120"
"SWKB0192","Bramwell House, Harper Road 1-27(C)",154,"SWKE0288"
"SWKB0193","Bramwell House, Harper Road 28-52(C)",165,"SWKE0288"
"SWKB0194","Bramwell House, Harper Road 53-82(C)",193,"SWKE0288"
"SWKB0195","Bramwell House, Harper Road 83-109(C); Harper Road 42 & 98",162,"SWKE0288"
"SWKB0196","Brantwood House, Bethwin Road 1-32(C)",190,"SWKE0352"
"SWKB0197","Brawne House, Hillingdon Street 1-68(C)",400,"SWKE0041"
"SWKB0198","Brayards Road 75-81(O), 79A-81A(O)",36,"SWKE0043"
"SWKB0199","Breamore House, Friary Road 16-23(C)",48,"SWKE0145"
"SWKB0200","Breamore House, Friary Road 1-7(C)",49,"SWKE0145"
"SWKB0201","Breamore House, Friary Road 8-15(C)",48,"SWKE0145"
"SWKB0202","Brenchley Gardens 113-143(O)",96,"SWKE0044"
"SWKB0203","Brenchley Gardens 161-191(O)",96,"SWKE0044"
"SWKB0204","Brenchley Gardens 17-47(O)",96,"SWKE0044"
"SWKB0205","Brenchley Gardens 65-95(O)",96,"SWKE0044"
"SWKB0206","Brenley House, Tennis Street 1-40(C)",263,"SWKE0329"
"SWKB0207","Breton House, Abbey Street 1-40(C)",251,"SWKE0316"
"SWKB0208","Bridges House, Picton Street 1-20(C)",122,"SWKE0129"
"SWKB0209","Bridgnorth House, Peckham Park Road 13A & 1-19(C); Peckham Park Road 41-57(O)",156,"SWKE0145"
"SWKB0210","Bridport, Cadiz Street 1-32(C)",152,"SWKE0248"
"SWKB0211","Brisbane Street 61-91(O)",117,"SWKE0129"
"SWKB0212","Broadmayne, Portland Street, 1-54(C) , Tenants Hall",302,"SWKE0275"
"SWKB0213","Broderick House, Bowen Drive 1-24(C)",152,"SWKE0201"
"SWKB0214","Brodie House, Coopers Road 1-30(C)",210,"SWKE0017"
"SWKB0215","Bromar Road 14-22(E) & 22A",36,"SWKE0046"
"SWKB0216","Bromfield Court, Jamaica Road 1-34(C)",226,"SWKE0192"
"SWKB0217","Bromleigh Court, Sydenham Hill 1-42(C)",257,"SWKE0328"
"SWKB0218","Bromleigh House, Abbey Street 1-22(C); Abbey Street 103-115(O)",145,"SWKE0316"
"SWKB0219","Bronti Close 1-5(C) ; East Street 14-22(E)",54,"SWKE0248"
"SWKB0220","Bronti Close 6-38(C); East Street 28-92(E)",363,"SWKE0248"
"SWKB0221","Brookstone Court, Peckham Rye 1-12(C) & 12A, 14-65(C)",380,"SWKE0047"
"SWKB0222","Brookwood House, Webber Street 1-24(C)",142,"SWKE0205"
"SWKB0223","Broomfield House, Massinger St 1-20(C)",110,"SWKE0087"
