BD CODE,BD NAME,BD RATEABLE VALUE
BD000237,TRADESCANT ROAD 43 FLAT 1 2&3,387
BD000238,IVELEY ROAD,662
BD000239,IVELEY ROAD 9-23,1584
BD000240,OLD TOWN 20-26,1634
BD000241,IVELEY ROAD 35 37 43,754
BD000242,ALBERT SQUARE 2 FLATS 1-4,780
BD000243,JEFFREYS ROAD 49A B & C,724
BD000244,JEFFREYS ROAD,724
BD000245,WANDSWORTH ROAD 553!557,694
BD000247,LANSDOWNE GARDENS 7B FLAT 1 & 2,560
BD000248,WANDSWORTH ROAD,478
BD000249,GUILDFORD ROAD 16 FLATS A&B,548
BD000250,LANDOR ROAD 19-29,2141
BD000251,GUILDFORD ROAD 28 FLATS 1 2&3,850
BD000252,GUILDFORD ROAD 24 FLATS 1 2&3,675
BD000253,GUILDFORD ROAD 26 FLATS 1 2&3,666
BD000254,GUILDFORD ROAD 26A FLATS 1&2,460
BD000255,CARLTON MANSION 1-11 CONS.,2151
BD000256,RUSPER COURT 1-70,16682
BD000257,ORLANDO ROAD,1053
BD000258,RECTORY COURT,1236
BD000259,LITTLEBURY ROAD 49-51,384
BD000261,GOSTON GATE 1-8,2352
BD000262,HAMPSON WAY 1-263 ODD,34181
BD000263,HAMPSON WAY 2-48 EVEN,6384
BD000264,DOVET COURT 1-97,27961
BD000265,PORTLAND GROVE 8-38 EVEN,3568
BD000266,PORTLAND GROVE 74-108,2898
BD000267,PORTLAND GROVE 110-180 EVEN,10584
BD000268,RUNDELL TOWER 1-82,22366
BD000269,SELWAY HOUSE 2-36,9900
BD000270,STAMBOURNE HOUSE 1-20,6120
BD000271,TEVERSHAM LANE 1-95,15464
BD000272,GUILDFORD ROAD 1-47 ODD,7368
BD000273,GUILDFORD ROAD 51-105 ODD,8448
BD000274,LANSDOWNE WAY 40-70,3712
BD000275,THORNE ROAD 56-78 EVEN,2784
BD000276,THORNE ROAD 80-102,2784
BD000277,MENTONE COURT 1-20,4340
BD000278,KELVEDON HOUSE 1-82,23344
BD000279,SOUTH LAMBETH ROAD FLATS 274 1-10,2137
BD000280,BROCKET HOUSE 1-66,13719
BD000281,CHESSINGTON HOUSE 1-44,9245
BD000282,CLIVE HOUSE 1-32,7089
BD000283,COLCHESTER HOUSE 1-20,4055
BD000284,FARNLEY HOUSE 1-48,10640
BD000285,HARDWICK HOUSE 1-18,3982
BD000286,NETHERBY HOUSE 1-24,5583
BD000287,NEWTON HOUSE 1-24,5073
BD000288,OAKWELL HOUSE 1-26,5752
BD000289,RUSHBROOK HOUSE 1-22,4296
BD000290,RUSHTON HOUSE 1-102,22664
BD000291,RYDAL HOUSE 1-12,2682
BD000292,DONNINGTON HOUSE 1-24,5625
BD000293,CROXTETH HOUSE 1-48,10176
BD000294,KNEBWORTH HOUSE 1-40,8664
BD000295,KNELLER HOUSE 1-32,6804
BD000296,LOSTOCK HOUSE 1-24,5604
BD000297,ASTON HOUSE 1-56,11499
BD000298,BILTON HOUSE 1-31,5774
BD000299,WINSLOW HOUSE 1-6,1596
BD000300,STANMORE HOUSE 1-38,7951
BD000301,BRADFIELD HOUSE 1-37,7060
BD000302,DALEMAIN HOUSE 1-16,3979
BD000303,ESHER HOUSE 1-12,2760
BD000304,FALLODAN HOUSE 1-24,5776
BD000305,DARTINGTON HOUSE 1-44,11094
BD000306,GOLDSBOROUGH HOUSE 1-27,7188
BD000307,HINDLIP HOUSE 1-40,8416
BD000308,FRASER HOUSE 1-18,4522
BD000309,WILSON HOUSE 1-22,6408
BD000310,EFFINGHAM HOUSE 1-18,4546
BD000311,MORDAUNT HOUSE 1-18,4534
BD000312,STANLEY HOUSE 1-18,4558
BD000313,GRANT HOUSE 1 - 18,4600
BD000314,ALDERLEY HOUSE 1-18,4885
BD000315,SHARP HOUSE,11497
BD000316,SHORE HOUSE,16632
BD000317,SURCOT HOUSE 1-12,3624
BD000318,HALTONE HOUSE 1-12,3624
BD000319,ILSLEY COURT 1- 28,5324
BD000320,WELFORD COURT,5316
BD000321,ALLINGTON COURT 1-18 CONS,5320
BD000322,FOVANT COURT 1 - 18,5316
BD000323,AMESBURY TOWER 1-80,20592
BD000324,DURRINGTON TOWER 1-80,20592
BD000325,LYNCOTT CRESCENT,182
