Estate,RV,CCTV,Cleaning,Communal Electricity,Repairs and Maintenance,Grounds Maintenance,Tree Maintenance,,,Only Estates with Homeowners
Bonham Estate,26308,0,17580.85,2174.47,340.45,6023.28,0,,,
Solon Estate,41035,0,36816.35,1844.03,1539.3,8096.26,0,,,
Brighton Terrace Estate,20993,6798.8,17352.32,2040.58,340.45,3593.24,336.41,,,
Conway House Estate,3610,0,1955.05,1795.81,0,289.89,0,,,
Clarence Avenue Estate,50723,0,37152.92,16123.82,4985.06,7395.15,957.96,,,
Joseph Powell Estate,3150,0,1677.15,707.68,64.23,263.21,0,,,
Magnolia Place Flats,5656,0,3168.08,1127.11,107.06,982.5,336.41,,,
Carfax Estate,29481,0,11270.1,208.83,299.76,1128.16,1345.63,,,
Park Court Flats,4787,0,862.64,430.39,64.23,272.5,0,,,
Bowater Close Estate,11305,0,9414.07,890.32,941.28,0,0,,,
Bonneville/Deauville Esta,27686,0,9994.04,491.29,0,2369.21,8621.65,,,
Ascot Court Estate,6274,0,1443.54,818.48,0,522.31,0,,,
Dumbarton Court Estate,52299,0,16058.43,3655.24,4804.67,3153.43,0,,,
Foster Court Flats,1870,0,0,68.19,0,324.84,0,,,
Arlington Lodge Estate,34423,0,10436.63,3488.91,424.78,4537.9,336.41,,,
Kingscroft Estate,3699,0,6447.06,65.77,700.34,3307.42,0,,,
Edmundsbury Court Estate,32054,5099.1,21905.49,4965.82,2502.79,1974.44,0,,,
Poynders Gardens Estate,64738,0,26908.98,2244.27,307.74,39105.23,2018.45,,,
Oaklands Estate,94665,0,57463.7,11922.74,1228.55,20404.48,672.82,,,
Sinclair Estate,19028,0,10497.86,2645.95,5033.44,5996.87,0,,,
Weir Estate,46032,0,22630.48,3378.31,1531.01,11467.85,0,,,
St Matthews Estate,99192,20396.4,73654.91,11325.11,11139.01,21943.03,1294.37,,,
Renton Close Estate,13949,0,7287.51,5153.91,12594.05,1316.61,0,,,
Claremont Estate East,27607,0,35467.1,2275.05,272.36,2927.45,0,,,
Claremont Estate West,27823,0,20586.95,1908.79,68.1,3240.25,1294.37,,,
Briant Estate,30695,0,20463.95,1710.71,934.88,1927.09,0,,,
China Walk Estate,123318,0,71824.2,14798.15,5904.82,15034.92,4168.25,,,
Kennings Estate,34786,0,19595.33,1302.33,34866.54,3782.11,0,,,
Vauxhall Gardens Estate,304866,0,93318.88,33131.86,2581.02,24308.38,5177.47,,,
Whitgift Estate,19528,0,12261.65,1371.57,791.81,1872.75,0,,,
Black Prince Road Estate,21848,0,11266.27,2142.83,235.52,2972.92,0,,,
Broadgates Court Estate,4235,0,2568.54,2746.88,0,170.07,957.96,,,
Fitzalan Street Estate,3528,0,1338.75,216.4,0,579.46,0,,,
Walnut Tree Walk Estate,6400,0,3071.14,571.21,0,367.2,0,,,
Crewdson Road Estate,3972,0,1384.58,0,21.42,424.16,0,,,
Rita Road Estate,2270,0,479.82,141.67,0,342.07,0,,,
South Island Place Estate,4384,0,1528.19,186.08,0,0,0,,,
Caldwell Gardens Estate Sv,0,37393.4,29626.57,0,128.47,4737.71,6084.17,,,
