Block,RV,Boiler Repairsand Maintenance,CCTV,Cleaning,Communal Electricity,Communal Electrical Maintenance,TV Aerial,Communal Water Quality,Communal Window Cleaning,Communal Ventilation Maintenance,Concierge,Disinfestation,Dry Riser,Door Entry System,Cleaning External,Grounds Maintenance External,External Tree Maintenance,Repairsand Maintenance External,Fire Ventilation Maintenance,Repairsand Maintenance,Lift Services & Repairs,Lightning Protection,,Only blocks containing homeowners
Guildford Road 51-105 Odd,8448,0,0,8293.67,649.5,0,0,3619.84,0,0,0,0,0,0,0,0,0,0,0,19025.01,0,0,,
Lansdowne Way 40-70,3712,7073.59,0,3644.19,1525.9,0,0,452.47,0,0,0,211.48,0,471.33,0,0,0,0,0,949.86,0,0,,
Thorne Road 56-78 Even,2784,0,0,2733.14,695.34,0,0,678.72,0,0,0,0,0,445.53,0,0,0,0,0,3926.04,0,0,,
Thorne Road 80-102,2784,0,0,2733.14,761.78,0,0,678.72,0,0,0,0,0,384.97,0,0,0,0,0,2661.8,0,0,,
Mentone Court 1-20,4340,15652.09,0,4260.72,3863.66,0,0,452.47,0,0,0,105.74,0,384.97,0,0,0,0,0,3012.08,0,0,,
Kelvedon House 1-82,23344,94128.19,0,22917.55,26139.34,716.09,469.14,6665.08,0,0,70158.22,845.92,306.63,572.83,0,0,0,0,0,7441.21,3524.14,349.72,,
South Lambeth Road Flats 274 1-10,2407,0,0,2363.03,321.43,0,0,0,0,0,0,105.74,0,498.65,810.5,0,0,0,0,1038.64,0,0,,
Brocket House 1-66,13719,0,0,17826.02,2998.42,0,0,1357.43,0,0,0,211.48,0,384.97,0,0,0,0,0,18765.64,0,0,,
Chessington House 1-44,9245,0,0,12012.65,1697.36,0,0,904.96,0,0,0,422.96,0,0,0,0,0,0,0,4732.1,0,0,,
Clive House 1-32,7089,0,0,9211.22,1486.98,0,0,904.96,0,0,0,0,0,0,0,0,0,0,0,2928.05,0,0,,
Colchester House 1-20,4055,0,0,5268.94,840.74,0,0,452.47,0,0,0,0,0,0,0,0,0,0,0,4171.29,0,0,,
Farnley House 1-48,10640,0,0,13825.27,1809.36,0,0,452.47,0,0,0,105.74,0,0,0,0,0,0,0,8010.4,0,0,,
Hardwick House 1-18,3982,0,0,5174.08,766.44,0,0,452.47,0,0,0,0,0,0,0,0,0,0,0,3569.98,0,0,,
Netherby House 1-24,5583,0,0,7254.37,868.94,0,0,452.47,0,0,0,0,0,0,0,0,0,0,0,7258.58,0,0,,
Newton House 1-24,5073,0,0,6591.69,915.79,0,0,226.24,0,0,0,0,0,0,0,0,0,0,0,4043.75,0,0,,
Oakwell House 1-26,5752,0,0,7473.96,1339.54,0,0,956.34,0,0,0,0,0,0,0,0,0,0,0,4751.47,0,0,,
Rushbrook House 1-22,4296,0,0,5582.08,1602.42,0,0,847,0,0,0,211.48,0,0,0,0,0,0,0,3389.58,0,0,,
Rushton House 1-102,22664,0,0,29448.87,3446.1,0,0,452.47,0,0,0,211.48,0,2110.98,0,0,0,0,0,25321.41,0,0,,
Rydal House 1-12,2682,0,0,3484.9,6012.27,0,0,226.24,0,0,0,0,0,0,0,0,0,0,0,1659.46,0,0,,
Donnington House 1-24,5625,0,0,7308.94,838.78,0,0,1073.23,0,0,0,0,0,0,0,0,0,0,0,5508.53,0,0,,
Croxteth House 1-48,10176,0,0,13222.36,1852.78,0,0,1292.98,0,0,0,0,0,769.92,0,0,0,0,0,7186.18,0,0,,
Knebworth House 1-40,8664,0,0,11257.72,2084.69,0,0,904.96,0,0,0,105.74,0,0,0,0,0,0,0,5733.63,0,0,,
Kneller House 1-32,6804,0,0,8840.9,0,0,0,1066.75,0,0,0,105.74,0,0,0,0,0,0,0,5405.76,0,0,,
Lostock House 1-24,5604,0,0,7281.66,0,0,0,452.47,0,0,0,0,0,0,0,0,0,0,0,1814.81,0,0,,
Aston House 1-56,11499,0,0,0,2565.73,0,446,904.96,0,0,0,845.92,0,727.25,0,0,0,0,0,17038.03,0,0,,
Bilton House 1-31,5774,0,0,7502.55,4694.54,0,0,452.47,0,0,0,0,0,532.01,0,0,0,0,0,20600.9,0,0,,
Winslow House 1-6,1596,0,0,2073.79,426.54,0,0,226.24,0,0,0,0,0,384.97,0,0,0,0,0,506.87,0,0,,
Stanmore House 1-38,7951,0,0,10331.27,1176.11,0,0,678.72,0,0,0,317.22,0,0,0,0,0,0,0,7210.53,0,0,,
Bradfield House 1-37,7060,0,0,9173.53,1241.23,0,0,452.47,0,0,0,105.74,0,384.97,0,0,0,0,0,9726.36,0,0,,
Dalemain House 1-16,3979,0,0,5170.18,5134.09,0,0,452.47,0,0,0,105.74,0,769.93,0,0,0,0,0,1324.17,2750.1,0,,
Esher House 1-12,2760,0,0,3586.25,715.43,0,0,452.47,0,0,0,0,0,0,0,0,0,0,0,2318.29,0,0,,
Fallodan House 1-24,5776,0,0,7505.15,4065.98,0,0,226.24,0,0,0,0,0,1154.9,0,0,0,0,0,12825.76,4125.14,0,,
Dartington House 1-44,11094,0,0,14415.18,5452.19,0,0,1525.72,0,0,0,0,0,769.93,0,0,0,0,0,29147.58,2750.1,0,,
Goldsborough House 1-27,7188,15708.26,0,9339.85,4743.43,0,267.8,904.96,0,0,0,105.74,0,384.97,0,0,0,0,0,1552.47,1375.04,0,,
Hindlip House 1-40,8416,0,0,10935.48,1598.81,0,0,452.47,0,0,0,105.74,0,925.63,0,0,0,0,0,1920.24,0,0,,
Fraser House 1-18,4522,0,0,5875.74,1169.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3160.29,0,0,,
Wilson House 1-22,6408,0,0,8326.35,0,0,0,0,0,0,0,0,0,482.48,0,0,0,0,0,6608.48,0,0,,
Effingham House 1-18,4546,0,0,5906.92,952.65,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,9592.67,0,0,,
Mordaunt House 1-18,4534,0,0,5891.33,1288.05,0,0,0,0,0,0,317.22,0,0,0,0,0,0,0,8791.75,0,0,,
Stanley House 1-18,4558,0,0,5922.52,1401.12,0,0,0,0,0,0,845.92,0,0,0,0,0,0,0,1226.96,0,0,,
Grant House 1 - 18,4600,0,0,5977.09,2180.22,0,0,0,0,0,0,211.48,0,384.97,0,0,0,0,0,761.07,0,0,,
Alderley House 1-18,4885,0,0,6347.41,1385.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12847.94,0,0,,
Sharp House,11497,0,0,8067.33,2660.95,1122.92,0,2262.39,0,0,0,740.18,0,384.97,0,0,0,0,0,5094.58,1375.04,0,,
Shore House,16632,0,0,11670.51,4746.58,772.61,0,4744.45,0,0,0,634.44,0,2554.38,0,0,0,0,0,9390,2750.1,0,,
Surcot House 1-12,3624,0,0,4708.91,1003.41,101.7,0,0,0,0,0,0,0,0,0,0,0,0,0,5488.93,0,349.72,,
Haltone House 1-12,3624,0,0,4708.91,755.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5277.96,0,0,,
Ilsley Court 1- 28,5324,0,0,3735.8,5553.02,858.83,1338.99,452.47,0,0,0,0,0,0,0,0,0,0,0,6520.41,0,0,,
Allington Court 1-18 Cons,5320,0,0,3732.99,543.74,0,803.39,226.24,0,0,0,211.48,0,0,0,0,0,0,0,879.64,0,0,,
Fovant Court 1 - 18,5316,0,0,3730.19,1042.9,0,803.39,452.47,0,0,0,317.22,0,0,0,0,0,0,0,1296.17,0,0,,
Amesbury Tower 1-80,20592,0,0,14449.21,13616,716.09,5860.83,1655.97,0,0,70158.22,211.48,358.89,679.31,0,0,0,0,1183.3,4282.77,3524.14,902.37,,
Durrington Tower 1-80,20592,0,0,14449.21,12839.36,1054.77,314.7,2600.23,0,0,70158.22,528.7,306.63,2241.22,0,0,0,0,1183.3,10613.69,12648.47,699.11,,
Raleigh House 1-17,4339,0,0,5637.96,1855.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3830.85,0,0,,
Naylor House 1-22,5616,0,0,7297.25,1543.82,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,5819.01,0,0,,
Harcourt House 1 - 22,5513,0,0,7163.41,1325.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4632.66,0,0,,
Seymour House 1-18,4645,0,0,6035.56,1866.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11938.09,0,0,,
Metcalfe House 1-18,4651,0,0,6043.36,1242.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882.91,0,0,,
Spencer House 1-18,4512,0,0,5862.75,1105.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6350.11,0,0,,
Shipley House 1-22,5613,0,0,7293.35,1660.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2755.73,0,0,,
Lydwell House  1-18,4520,0,0,5873.14,1298.18,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,454.76,0,0,,
Lucas House 1-22,5508,0,0,7156.92,1833.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.88,0,0,,
Macaulay Square 1-25 Cons,6085,0,0,6573.78,3275.29,0,267.8,1182.57,0,0,0,0,0,0,0,0,0,0,0,3280.76,1375.04,0,,
Macaulay Square 26-45,4805,0,0,5190.96,1289.56,0,267.8,1073.23,0,0,0,105.74,0,0,0,0,0,0,0,633.42,0,0,,
Macaulay Square 46-65 Cons,5210,0,0,5628.49,981.77,0,267.8,1073.23,0,0,0,211.48,0,0,0,0,0,0,0,1123.68,2750.1,0,,
Macaulay Square 66-85 Cons,4805,0,0,5190.96,2917.89,0,267.8,452.47,0,0,0,0,0,0,0,0,0,0,0,4753.48,1375.04,0,,
Macaulay Road 82-100 Even,2980,0,0,0,321.92,0,0,452.47,0,0,0,14.24,0,0,0,0,0,0,0,246.13,0,0,,
Gauden Road 42-72,4853,0,0,4764.34,985.62,0,0,1809.91,0,0,0,105.74,0,0,0,0,0,0,0,646.51,0,0,,
Gauden Road 74-92,3080,0,0,3023.73,1246.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870.28,0,0,,
Romayne House 1-24,5844,0,0,5737.24,3518.01,561.47,0,226.24,0,12751.18,0,0,936.53,384.97,0,0,0,0,0,1910.26,1375.04,0,,
Dennis Way 1-8,1616,0,0,0,1416,0,0,0,0,0,0,0,0,384.97,0,0,0,0,0,300.81,0,0,,
Lynde House 1-26,6111,0,0,5999.36,13799.84,1457.8,0,298.54,0,12751.18,0,0,306.63,384.97,0,0,0,0,0,4309.93,1625.47,0,,
Fenwick Place 1-55 Odd,7952,0,0,7806.73,0,0,267.8,0,0,0,0,528.7,0,0,0,0,0,0,0,393.76,0,0,,
Fenwick Place 57-79 Odd,3216,0,0,3157.25,0,0,267.8,0,0,0,0,105.74,0,0,0,0,0,0,0,279.49,0,0,,
Fenwick Place 81-101 Odd Excl 89,2440,0,0,2395.43,0,0,267.8,0,0,0,0,0,0,0,0,0,0,0,0,553.19,0,0,,
Fenwick Place 89 103-147,6288,0,0,6173.13,0,0,267.8,1357.43,0,0,0,211.48,0,0,0,0,0,0,0,3010.23,0,0,,
Cottage Grove 22-44 Even,2424,0,0,2379.72,0,0,0,226.24,0,0,0,0,0,0,0,0,0,0,0,246.13,0,0,,
Cottage Grove 21-31 35-51 Odd 175 201,4228,0,0,4150.76,0,0,279.13,226.24,0,0,0,105.74,0,0,0,0,0,0,0,1414.53,0,0,,
Cottage Grove 33 53-113 O,8416,0,0,8262.25,0,0,22.57,0,0,0,0,422.96,0,0,0,0,0,0,0,958.32,0,0,,
Cottage Grove 115-149,4618,0,0,4533.64,0,0,267.8,226.24,0,0,0,634.44,0,0,0,0,0,0,0,1342.46,0,0,,
Cottage Grove 151-173 177-199 Odd,6240,0,0,6126.01,0,0,267.8,226.24,0,0,0,211.48,0,0,0,0,0,0,0,325.88,0,0,,
Willington Road 26-124 Ev,14200,0,0,13940.59,1255.59,0,1071.19,770.31,0,0,0,1163.14,0,594.15,0,0,0,0,0,3363.95,0,349.72,,
Holcombe House 1-44,11956,0,0,11737.59,183.26,0,291.25,1292.98,0,0,0,105.74,0,471.33,0,0,0,0,0,3278.44,784.61,902.37,,
Lopez House 1-42,8997,0,0,8832.64,479.96,0,291.25,1066.75,0,0,0,0,0,384.97,0,0,0,0,0,6470.97,590.43,839.38,,
Willett House 1-20,4220,21254.36,0,4142.91,6911.29,0,267.8,0,0,0,0,105.74,0,0,0,0,0,0,0,636.93,0,0,,
Ormerod House 1-37,9771,0,0,9592.5,917.84,0,291.25,904.96,0,0,0,105.74,0,384.97,0,0,0,0,0,2782.13,0,0,,
Thorparch Road 64-70,884,0,0,0,0,101.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Goldsbrough Road 15 Flats A&B,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,,
Lilford Road 108-118,1239,0,0,971.16,839.14,0,0,586.44,0,0,0,0,0,490.52,0,0,0,0,0,3008.97,0,0,,
Lilford House 1-70,16823,0,0,13186.33,4375.26,0,0,3105.88,0,0,0,0,0,2009.44,0,0,0,0,0,5345.6,0,657.29,,
Brigstock House 1-75,19028,0,0,14914.67,4018.78,0,0,3701.22,0,0,0,845.92,0,2076.68,0,0,0,0,0,2964.79,0,657.29,,
Chilham Court 1-10,3085,0,0,3184.2,684.74,746.23,0,1088.46,0,0,0,0,0,1230.12,0,0,0,0,0,4316.6,0,657.29,,
Chartham Court 1-59,16780,0,0,17319.57,13833.87,1197.15,0,1557.63,0,0,0,105.74,983.33,356.04,0,0,0,0,0,52095.66,5281.64,657.29,,
Burgate Court 1-12,3816,0,0,3938.7,852.16,746.23,0,763.36,0,0,0,211.48,0,2003.37,0,0,0,0,0,7346.5,0,657.29,,
Broadoak Court 1-36,9348,0,0,9648.59,4741.14,2058.03,0,0,0,4474.97,0,317.22,0,423.27,0,0,0,0,0,2531.12,2640.82,0,,
Westgate Court 1-40,8920,0,0,9206.83,4127.14,0,0,2122.1,0,0,0,211.48,0,288.8,0,0,0,0,0,6792.13,2071.96,657.29,,
Wincheap Court 1-8,2449,0,0,2527.75,0,746.23,0,938.91,0,0,0,105.74,0,624.99,0,0,0,0,0,246.13,568.86,657.29,,
Northgate Court 1-36,9348,0,0,9648.59,3063.93,828.21,0,1660.29,0,5597.5,0,740.18,0,1364.61,0,0,0,0,0,5598.45,2640.82,657.29,,
Paulet Road 53-59,1587,0,0,1243.93,469.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547.17,0,0,,
Myatt House 1-6,1824,0,0,1429.7,313.94,0,0,452.47,0,0,0,0,0,384.97,0,0,0,0,0,430.41,0,0,,
Gordon Grove 1-3,4688,0,0,0,693.26,0,0,0,0,0,0,0,0,846.55,0,0,0,0,0,598.49,0,0,,
Southwell Road 1-7,4688,0,0,3674.58,1067.94,0,193.97,379.97,0,0,0,105.74,0,5990.24,0,0,0,0,0,596.98,0,0,,
Herne Hill Road 26,1212,0,0,1250.97,182.2,0,0,379.97,0,0,0,0,0,87.09,0,0,0,0,0,1089.97,0,0,,
Rollscourt Avenue (8 & 8a),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546.95,0,0,,
Rollscourt Avenue 12-14,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1702.98,0,0,,
Talleyrand House 5-18,3122,0,0,2447.11,2005.02,0,0,763.36,0,0,0,105.74,0,1263.75,0,0,0,0,0,3998.49,0,0,,
Winterslow House 1-36,9368,0,0,7342.9,2853.69,2099.02,0,1250.77,0,0,0,845.92,0,356.04,0,0,0,0,0,18064.64,2640.82,657.29,,
Bathgate House 1-20,5740,0,0,5635.14,335.53,0,0,678.72,0,0,0,740.18,0,0,0,0,0,0,0,1518.45,0,0,,
Dalkeith House 1-25,6730,0,0,6607.05,1724.18,0,0,1182.57,0,0,0,105.74,0,0,0,0,0,0,0,1269.93,1375.04,0,,
Silverburn House 1-41,10053,0,0,9869.35,14225.42,576.91,422.22,977.26,0,0,0,634.44,306.63,5401.89,0,0,0,0,0,3990.96,11124.28,0,,
Tindall Street 29-41,1561,0,0,1532.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Elliot Road 55-70,4720,0,0,4633.77,661.33,561.47,0,2073.94,0,0,0,0,0,769.92,0,0,0,0,0,1320.62,0,0,,
Calidore Close 1-52,12064,0,0,13633.31,21567.22,0,0,2699.31,0,0,0,0,983.33,288.8,0,0,0,0,0,6766.21,5281.64,0,,
Chaucer Road 72-78,908,0,0,0,1810.76,0,0,0,0,0,0,105.74,0,0,322.26,52.78,0,0,0,42.08,0,0,,
Mayall Road 120 122-126,1093,0,0,0,2024.89,0,0,0,0,0,0,0,0,0,0,63.53,0,0,0,0,0,0,,
Rattray Road 77-79,#N/A,0,0,0,0,0,0,763.36,0,0,0,0,0,0,270.22,35.44,0,0,0,54.68,0,0,,
Spenser Road 57-63,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,873.75,311.61,0,0,0,1093.9,0,0,,
Witchwood House 1-39,12020,30030.42,0,12406.51,32301.49,746.23,0,0,0,6127.34,0,105.74,0,678.47,0,0,0,0,0,24755.62,0,0,,
Somerleyton Road 1-5 Odds,774,906.22,0,798.89,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,879.09,0,0,,
Halsmere Road 25 & 26,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.02,0,0,0,0,0,0,,
Halsmere Road 42-45,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.09,0,0,0,280.76,0,0,,
" St James Crescent 165, 165a & 165b",982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.26,0,0,,
Paulet Road 2-40 Even,5170,0,0,4052.39,5467.18,0,0,0,0,0,0,634.44,0,562.36,0,0,0,0,0,2350.96,0,0,,
Paulet Road 42-76,4653,8377.25,0,3647.15,0,0,0,0,0,0,0,422.96,0,384.97,0,0,0,0,0,9146.49,0,0,,
Paulet Road 78-116,5170,9308.06,0,4052.39,8531.25,0,0,0,0,0,0,0,0,384.97,0,0,0,0,0,1493.01,0,0,,
Paulet Road 118-160,5687,10238.86,0,4457.63,0,0,0,0,0,0,0,211.48,0,384.97,0,0,0,0,0,3925.51,0,0,,
Paulet Road 162-200,5170,9308.06,0,4052.39,5810.31,0,0,0,0,0,0,211.48,0,476,0,0,0,0,0,11897.26,0,0,,
Evesham Walk 1-6!88-93,2856,0,0,0,1195.83,0,0,0,0,0,0,0,78.91,0,0,0,0,0,0,0,0,0,,
Evesham Walk 7-87 Cons,19340,0,0,0,5285.06,0,0,0,0,0,0,317.22,534.36,0,0,0,0,0,0,16006.73,0,0,,
Urlwin Walk 1-77,18441,0,0,0,7117.41,0,291.25,0,0,0,0,1374.62,613.26,0,0,0,0,0,0,10597.29,0,0,,
Southwyck House 100-377 Cons,51546,0,0,53203.48,76404.18,8472.29,2097.39,1070.22,0,8478.37,254692.01,2324.72,6898.87,120.71,0,0,0,0,0,99399.64,10563.28,0,,
Railton Road 9 Flats 1-4,980,0,0,1011.51,101.41,0,48.49,0,0,0,0,0,0,356.04,0,0,0,0,0,289.51,0,0,,
Marcus Garvey Way 33 Flats 1-6,1470,0,0,1517.27,237.38,0,72.73,0,0,0,0,0,0,1509.12,0,0,0,0,0,2646.66,0,0,,
Bob Marley Way 14 Flats 1-6,1470,0,0,1517.27,0,0,72.73,0,0,0,0,0,0,221.57,0,0,0,0,0,246.13,0,0,,
Cancell Road 5,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.01,0,0,,
Cancell Rd 47-51 Odd,942,0,0,0,1004.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bodley Manor Way 1-23 Odd,2784,0,0,0,0,0,0,763.36,0,0,0,0,0,0,0,0,0,0,0,3661.18,0,0,,
Bodley Manor Way 25-51,3248,0,0,0,0,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,4051.79,0,0,,
Crosby Walk 2-14 Even,1806,0,0,0,0,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,202.03,0,0,,
Crosby Walk 1-39 Odd,5130,0,0,0,0,868.51,0,0,0,0,0,0,0,0,0,0,0,0,0,6446.48,0,0,,
Hambridge Way 8-14,1624,0,0,0,0,0,0,763.36,0,0,0,0,0,0,0,0,0,0,0,2360.11,0,0,,
Hardel Walk 2-46 64-114 E,12317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20639.61,0,0,,
Hardel Walk 1-13,1806,0,0,0,0,0,0,0,0,0,0,317.22,0,0,0,0,0,0,0,1043.49,0,0,,
Hardel Walk 15-27,1806,0,0,0,0,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,0,0,0,,
Hardel Walk 41-47 Odd,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.06,0,0,,
Hardel Walk 49-55 & 116-122,2052,0,0,0,0,0,0,0,0,0,0,317.22,0,0,0,0,0,0,0,2193.3,0,0,,
Longford Walk 1-35 Odd,4617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4448.39,0,0,,
Longford Walk 2-18 Even,2322,0,0,0,0,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,2848.2,0,0,,
Papworth Way 1-12,2876,0,0,0,4417.63,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,353.85,0,0,,
Scarlette Manor Way 1-31 Odd,3712,0,0,0,0,0,0,379.97,0,0,0,105.74,0,0,0,0,0,0,0,2354.94,0,0,,
Upgrove Manor Way 1-39 (Odd),4640,0,0,0,0,0,0,763.36,0,0,0,105.74,0,0,0,0,0,0,0,1435.34,0,0,,
Herne Hill House 1-72,17758,38178.09,0,20068,20636.78,3533.8,0,2243.1,0,4628.47,0,528.7,1368.93,2440.4,0,0,0,0,332.4,32999.99,5281.64,657.29,,
Park View House 1-72,17758,37358.63,0,20068,22679.76,3533.8,0,2243.1,0,4628.4,0,528.7,983.33,221.57,0,0,0,0,332.4,3960.48,5281.64,657.29,,
Virginia Walk 3&6,556,0,0,0,0,117.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cherry Laurel Walk 5&9,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.45,0,0,,
Cherry Laurel Walk 2 6 7 8 10 14 15 16,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.36,0,0,,
Cherry Laurel Walk13&17,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.56,0,0,,
Patmos Road 17-27,1314,0,0,0,0,0,0,0,0,0,0,317.22,0,0,0,0,0,0,0,1429.43,0,0,,
Patmos Road 47-57,1314,0,0,0,0,0,0,0,0,0,0,422.96,0,384.97,0,0,0,0,0,246.13,0,0,,
Myatt Road 2-12,1314,0,0,1290,266.66,0,0,0,0,0,0,0,0,384.97,0,0,0,0,0,0,0,0,,
Myatt Road 31-45,1752,0,0,1719.99,0,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,175.76,0,0,,
Mandela Street 28-30,446,0,0,0,453.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793.08,0,0,,
Oborne Close 3 & 4,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997.17,0,0,,
Oborne Close 5-10,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,,
Milkwood Rd 333-337 & Oborne Close 13-18,2266,0,0,0,0,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,1953.36,0,0,,
Southwell Road 61,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,,
Kenbury Mansions 1-6,0,0,0,0,0,0,0,0,0,0,0,105.74,0,100.08,142.26,0,0,0,0,76.57,0,0,,
Kenbury Mansions 7-12,0,0,0,0,0,0,0,0,0,0,0,0,0,104.52,157.66,0,0,0,0,0,0,0,,
Kenbury Mansions 1-18,0,0,0,0,265.18,0,0,0,0,0,0,0,0,305.76,0,0,0,0,0,0,0,0,,
Arodene Road 100,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.81,0,0,,
Beechdale Road 9,413,0,0,0,137.99,0,0,0,0,0,0,0,0,0,0,213.08,0,0,0,571,0,0,,
Dulwich Road 53,611,0,0,0,138.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Endymion Road 78,461,0,0,0,138.34,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,496.35,0,0,,
Fairmount Road 6,418,0,0,0,126.02,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,300.81,0,0,,
Fairmount Road 35,459,0,0,0,172.71,0,0,379.97,0,0,0,0,0,0,0,0,0,0,0,1007.69,0,0,,
Fairmount Road 44,425,0,0,0,136.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.81,0,0,,
Helix Road 123,409,0,0,0,-5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.68,0,0,,
Milton Road 48 Flats 1&2,338,0,0,0,10.49,130.62,0,0,0,0,0,211.48,0,0,0,0,0,0,0,870.72,0,0,,
Ostade Road 4 Flats 1-3,357,0,0,0,154.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812.07,0,0,,
"Ostade House 6 A,B & C",483,0,0,0,0,171.62,0,0,0,0,0,317.22,0,0,0,0,0,0,0,658.52,0,0,,
78 Leander Road - Flat 1 & 2,0,0,0,0,581.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Leander Road 112 Flats 1+2,414,0,0,0,92.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.66,0,0,,
Leander Road 164 Flats 1&2,409,0,0,0,0,130.62,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Mackie Road 30,556,0,0,0,0,0,0,379.97,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,,
Raleigh Gardens 11,505,0,0,0,138.09,171.62,0,0,0,0,0,0,0,0,0,0,336.41,0,0,537.56,0,0,,
Eastlake Road 25 Flat 1 & 2,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.09,0,0,,
Eastlake Road 27 1 & 2,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Eastlake Road 33 Flat 1 & 2,401,0,0,0,354.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Eastlake Road 37 Flat 1 & 2,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Eastlake Road 41 Flat 1 & 2,397,0,0,0,0,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,516.32,0,0,,
Eastlake Road 43 Flat 1 & 2,401,0,0,0,-3242.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Flaxman Road 66 A&B,338,0,0,0,147.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496.96,0,0,,
Southwell Road 25 Flats 1&2,404,0,0,0,137.67,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,944.66,0,0,,
Northway Road 10 1-2,254,0,0,0,164.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.32,0,0,,
Hinton Road 110,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626.39,0,0,,
Deerdale Road 5 & 7,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,,
Deerdale Road 21 & 23,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,,
Deerdale Road 26 & 28,376,0,0,0,0,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,0,0,0,,
