Block,RV,Boiler Repairsand Maintenance,CCTV,Cleaning,Communal Electricity,Communal Electrical Maintenance,TV Aerial,Communal Water Quality,Communal Window Cleaning,Communal Ventilation Maintenance,Concierge,Disinfestation,Dry Riser,Door Entry System,Cleaning External,Grounds Maintenance External,External Tree Maintenance,Repairsand Maintenance External,Fire Ventilation Maintenance,Repairsand Maintenance,Lift Services & Repairs,Lightning Protection,,Only blocks containing homeowners
William Bonney Estate 1-24,5715,11532.82,0,9537.61,5054.1,109.44,398.75,1073.23,0,0,0,226.27,0,384.97,0,0,0,0,0,8969.38,1625.47,0,,
William Bonney Estate 25-45,5026,10142.43,0,8387.76,2446.67,124.9,398.75,452.47,0,0,0,13.01,0,384.97,0,0,0,0,0,2941.45,1625.47,0,,
William Bonney Estate 46-69,6038,11801.22,0,10076.66,12459.58,109.44,398.75,0,0,0,0,15.63,0,384.97,0,0,0,0,0,6019.87,1625.47,0,,
William Bonney Estate 70-108,8062,16269.05,0,13454.46,7964.6,0,797.5,1073.23,0,0,0,126.6,0,769.93,0,0,0,0,0,5297.31,2750.1,0,,
William Bonney Estate 109-124,3502,7067.01,0,5844.4,4394.66,0,398.75,452.47,0,0,0,9.06,0,384.97,0,0,0,0,0,1532.06,1375.04,0,,
William Bonney Estate 125-164,8318,16785.65,0,13881.69,977.39,218.89,797.5,1693.98,0,0,0,127.27,0,769.93,0,0,0,0,0,4345.59,2750.1,349.72,,
William Bonney Estate 165-184,4388,8854.95,0,7323.02,114.48,0,398.75,2518.19,0,0,0,11.36,0,384.97,0,0,0,0,0,6209.3,1375.04,614.29,,
Gaskell Street 70-80,1620,0,0,2104.98,0,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,0,0,0,,
Belmont Close 6-19 Cons,3068,0,0,5120.11,0,0,0,0,0,0,0,422.96,0,0,0,0,0,0,0,13654.31,0,0,,
Belmont Close 21-24,776,0,0,1295.05,0,0,0,0,0,0,0,211.48,0,0,0,0,0,0,0,246.13,0,0,,
Cubitt Terrace 48-68,2254,0,0,3761.64,0,0,0,0,0,0,0,105.74,0,1539.84,0,0,0,0,0,756.76,0,0,,
Hickmore Walk 25-35 Odd,1292,0,0,2156.19,0,203.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1803.74,0,0,,
Cubitt Terrace 72-84 Even,1414,0,0,2359.79,550.51,0,0,0,0,0,0,0,0,769.93,0,0,0,0,0,816.2,0,0,,
Cubitt Terrace 96-106,1019,0,0,1700.58,228.44,0,0,0,0,0,0,211.48,0,1154.88,0,0,0,0,0,984.51,0,0,,
Cubitt Terrace 108-110,388,0,0,647.52,228.44,0,0,0,0,0,0,0,0,384.97,0,0,0,0,0,246.13,0,0,,
Stonhouse Street 161 & 163,481,0,0,802.73,326.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.82,0,0,,
Hickmore Walk 13 & 13a,388,0,0,647.52,0,101.7,0,0,0,0,0,0,0,0,0,0,0,0,0,59.18,0,0,,
Knowles Walk 1-4,676,0,0,1128.16,396.32,101.7,0,0,0,0,0,422.96,0,0,0,0,0,0,0,246.13,0,0,,
Knowles Walk 9-12,676,0,0,1128.16,396.32,0,0,0,0,0,0,105.74,0,0,0,0,0,0,0,416.75,0,0,,
Knowles Walk 17-20,808,0,0,1348.45,396.32,0,267.8,0,0,0,0,0,0,0,0,0,0,0,0,300.81,0,0,,
Heath Road 147-149,422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Heath Road 171-173,422,0,0,296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Heath Road 175-183 Odd,1316,0,0,923.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Flat 1-6, 306 South Lambeth Road",1526,0,0,1498.12,0,0,267.8,0,0,0,0,211.48,0,384.97,0,129.7,0,0,0,568.28,0,0,,
Gaskell Street 5-7,446,0,0,579.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Gaskell Street 9&11,446,0,0,579.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Thorne Road 17-36,4546,0,0,4462.95,1147.26,0,803.39,0,0,0,0,0,0,1212.36,0,0,0,0,0,11216.48,0,0,,
