Property Ref,Bed Size,Block Reference,Estate Reference,Block Definition Code (Used for Service Charges)
664431,0,STR000210,EA117,BD002855
664845,0,STR000011,EA019,BD002886
607385,0,STR000697,EA104,BD000296
653103,0,STR000652,EA117,BD002820
653104,0,STR000652,EA117,BD002820
653113,0,STR000652,EA117,BD002820
653125,0,STR000652,EA117,BD002820
653152,0,STR000652,EA117,BD002820
653165,0,STR000652,EA117,BD002820
658261,0,STR000485,EA111,BD003058
606689,0,STR000220,EA105,
606690,0,STR000220,EA105,
606699,0,STR000220,EA105,
606700,0,STR000220,EA105,
654953,0,STR000531,EA019,BD002887
654956,0,STR000531,EA019,BD002887
654957,0,STR000531,EA019,BD002887
656978,0,STR012133,ENNL2,BD002992
618904,0,STR004532,ENNL7,BD003486
653200,0,STR000213,EA117,BD002821
653232,0,STR000213,EA117,BD002821
658517,0,STR000557,EA111,BD003062
617352,0,STR004702,ENPA1,BD000710
617354,0,STR004702,ENPA1,BD000710
607059,0,STR000854,EA104,BD000287
664397,0,STR003784,ENNL2,BD003234
609085,0,STR000838,EA044,BD000378
609086,0,STR000838,EA044,BD000378
653296,0,STR000775,EA117,BD002823
683311,0,STR010946,EA087,
683354,0,STR010946,EA087,
683355,0,STR010946,EA087,
683358,0,STR010946,EA087,BD002924
683359,0,STR010946,EA087,
683362,0,STR010946,EA087,
683363,0,STR010946,EA087,BD002924
606357,0,STR006403,EA079,
606358,0,STR006403,EA079,BD000266
606359,0,STR006403,EA079,
606360,0,STR006403,EA079,
606361,0,STR006403,EA079,
606362,0,STR006403,EA079,BD000266
606363,0,STR006403,EA079,
606364,0,STR006403,EA079,BD000266
606365,0,STR006403,EA079,
606367,0,STR006403,EA079,
606368,0,STR006403,EA079,BD000266
606369,0,STR006403,EA079,
606370,0,STR006403,EA079,BD000266
606371,0,STR006403,EA079,
606372,0,STR006403,EA079,BD000266
606373,0,STR006403,EA079,BD000266
606374,0,STR006403,EA079,
656774,0,STR014545,EA076,BD002961
655213,0,STR000111,EA130,
655214,0,STR000111,EA130,
657087,0,STR004947,ENNL5,
657088,0,STR004947,ENNL5,BD003702
657095,0,STR004954,ENNL5,BD003545
664737,0,STR017799,ENCS1,BD003005
664738,0,STR002822,ENCS1,BD002873
608672,0,STR000467,EA048,
608673,0,STR000467,EA048,
608674,0,STR000467,EA048,
608675,0,STR000467,EA048,
608676,0,STR000467,EA048,
608677,0,STR000467,EA048,BD000361
664742,0,STR000656,EA104,BD000289
605789,0,STR000626,EA096,
605790,0,STR000626,EA096,BD000256
605796,0,STR000626,EA096,BD000256
605805,0,STR000626,EA096,
605809,0,STR000626,EA096,
653311,0,STR000694,EA117,BD002824
653332,0,STR000694,EA117,BD002824
658347,0,STR000148,EA111,BD003060
658361,0,STR000148,EA111,BD003060
658371,0,STR000148,EA111,BD003060
658425,0,STR000148,EA111,BD003060
673645,0,STR000148,EA111,
606500,0,STR000183,EA105,BD000269
606508,0,STR000183,EA105,BD000269
606510,0,STR000183,EA105,BD000269
664750,0,STR000183,EA105,BD000269
664751,0,STR000183,EA105,BD000269
664752,0,STR000183,EA105,BD000269
664753,0,STR000183,EA105,BD000269
613826,0,STR000573,EA072,BD000515
613827,0,STR000573,EA072,BD000515
664857,0,STR000246,EA117,BD002857
606790,0,STR006423,ENCS2,
606791,0,STR006423,ENCS2,
606792,0,STR006423,ENCS2,BD000279
657504,0,STR006556,ENCS1,
664756,0,STR006419,ENCS2,BD003330
664757,0,STR006419,ENCS2,BD003330
653825,0,STR000829,EA026,BD002843
653828,0,STR000829,EA026,
653831,0,STR000829,EA026,
653834,0,STR000829,EA026,
653837,0,STR000829,EA026,
606540,0,STR000595,EA105,BD000270
664760,0,STR000595,EA105,BD000270
664761,0,STR000595,EA105,BD000270
661003,0,STR011813,ENNL1,BD003164
661004,0,STR011813,ENNL1,
661005,0,STR011813,ENNL1,BD003164
661006,0,STR011813,ENNL1,
661007,0,STR011813,ENNL1,
661008,0,STR011814,ENNL1,BD003165
661013,0,STR011815,ENNL1,BD003533
661014,0,STR011815,ENNL1,
661015,0,STR011815,ENNL1,
661016,0,STR011815,ENNL1,
661017,0,STR011815,ENNL1,BD003533
661018,0,STR011816,ENNL1,BD003166
661019,0,STR011816,ENNL1,
661020,0,STR011816,ENNL1,BD003166
661021,0,STR011816,ENNL1,
661022,0,STR011816,ENNL1,
659444,0,STR000632,EA102,BD003090
664802,0,STR017090,ENNL7,BD003336
606612,0,STR013654,EA105,
606613,0,STR013654,EA105,
606614,0,STR013654,EA105,
606615,0,STR013654,EA105,
606616,0,STR013654,EA105,
606617,0,STR013654,EA105,
606618,0,STR013654,EA105,
606619,0,STR013654,EA105,BD000271
664804,0,STR006424,EA105,BD000271
604220,0,STR006559,ENCS2,
604221,0,STR006559,ENCS2,
602512,0,STR006438,EB113,
602513,0,STR006438,EB113,
